0|PHAM MINH|HOA|0|2
HD0|28/07/2021|X|5
VT1|80|28716|5.000000
VT1|55|10491|2.000000
VT2|58|10153|4.000000
VT5|79|38145|3.000000
VT7|81|15436|0.000000
HD1|28/07/2021|N|5
VT1|35|17711|4.000000
VT2|81|40333|2.000000
VT5|89|19894|3.000000
VT7|83|31726|0.000000
VT9|89|29912|1.000000
1|HOANG THIEN|HOA|1|2
HD2|28/07/2021|X|5
VT0|88|18942|4.000000
VT0|54|11842|4.000000
VT7|41|22859|3.000000
VT7|88|37644|3.000000
VT9|70|10778|5.000000
HD3|28/07/2021|N|5
VT0|54|25350|3.000000
VT3|57|13548|5.000000
VT4|42|29954|2.000000
VT6|35|17376|4.000000
VT6|80|33805|3.000000
2|TANG HUYNH|TRI|0|2
HD4|28/07/2021|X|5
VT4|38|42439|1.000000
VT7|89|12306|0.000000
VT7|44|31538|0.000000
VT9|30|39658|0.000000
VT9|45|26541|5.000000
HD5|28/07/2021|N|5
VT0|77|15829|3.000000
VT1|77|28636|5.000000
VT1|92|38745|4.000000
VT5|35|25574|4.000000
VT7|58|26512|0.000000
3|HOANG DINH|LE|1|2
HD6|28/07/2021|X|5
VT0|75|11150|4.000000
VT3|59|20383|5.000000
VT6|51|13430|5.000000
VT7|43|21337|5.000000
VT9|95|19758|0.000000
HD7|28/07/2021|N|5
VT2|82|11655|5.000000
VT2|80|34946|4.000000
VT3|72|39168|5.000000
VT4|62|30537|3.000000
VT5|68|14041|2.000000
4|TANG TIEN|LE|0|2
HD8|28/07/2021|X|5
VT0|73|13788|5.000000
VT1|32|40836|4.000000
VT3|48|11999|2.000000
VT6|54|34021|3.000000
VT8|61|34484|0.000000
HD9|28/07/2021|N|5
VT3|83|19514|2.000000
VT5|38|27451|5.000000
VT7|84|12421|5.000000
VT8|60|24893|1.000000
VT9|58|41556|3.000000
5|PHAM HUYNH|TIEN|1|2
HD10|28/07/2021|X|5
VT3|61|24343|3.000000
VT4|86|19503|0.000000
VT4|66|21008|5.000000
VT8|84|16618|2.000000
VT9|57|42702|1.000000
HD11|28/07/2021|N|5
VT0|68|39657|5.000000
VT5|46|32888|3.000000
VT8|62|22292|5.000000
VT8|83|25281|2.000000
VT9|42|37157|0.000000
6|TRAN MINH|BUOI|0|2
HD12|28/07/2021|X|5
VT2|85|28651|5.000000
VT2|80|12634|3.000000
VT4|65|11416|0.000000
VT5|67|38433|0.000000
VT8|58|32646|2.000000
HD13|28/07/2021|N|5
VT1|39|19789|1.000000
VT2|56|20585|1.000000
VT3|71|36869|0.000000
VT5|56|20712|2.000000
VT7|70|38476|5.000000
7|BUI TIEN|LONG|1|2
HD14|28/07/2021|X|5
VT1|74|27189|3.000000
VT2|41|40932|0.000000
VT4|79|26549|2.000000
VT8|71|38692|1.000000
VT8|69|41426|3.000000
HD15|28/07/2021|N|5
VT5|34|28060|3.000000
VT6|91|22949|5.000000
VT7|68|30416|1.000000
VT7|73|22529|1.000000
VT9|73|22423|4.000000
8|MAI TIEN|LAN|0|2
HD16|28/07/2021|X|5
VT2|53|30945|0.000000
VT4|62|21701|1.000000
VT5|84|30053|2.000000
VT6|53|22263|1.000000
VT8|77|26282|0.000000
HD17|28/07/2021|N|5
VT1|60|14144|2.000000
VT1|48|29558|4.000000
VT2|57|36439|2.000000
VT3|62|20466|5.000000
VT9|87|12161|2.000000
9|LENH MINH|TRI|1|2
HD18|28/07/2021|X|5
VT4|89|39510|3.000000
VT6|82|18313|2.000000
VT7|38|14414|0.000000
VT8|68|17391|1.000000
VT8|73|24018|5.000000
HD19|28/07/2021|N|5
VT2|71|18480|1.000000
VT3|62|12668|5.000000
VT3|59|38070|1.000000
VT4|48|35874|5.000000
VT8|49|18177|2.000000
10|MAI MINH|LE|0|2
HD20|28/07/2021|X|5
VT1|79|24181|0.000000
VT2|92|10142|2.000000
VT2|65|14099|3.000000
VT3|31|11924|2.000000
VT5|51|37593|5.000000
HD21|28/07/2021|N|5
VT0|85|23694|0.000000
VT3|44|40974|4.000000
VT4|77|17900|2.000000
VT5|73|40833|2.000000
VT6|55|14667|4.000000
11|MAI VAN|DUC|1|2
HD22|28/07/2021|X|5
VT0|70|28087|0.000000
VT8|95|38464|4.000000
VT8|55|32593|2.000000
VT8|43|36302|2.000000
VT9|74|12125|4.000000
HD23|28/07/2021|N|5
VT0|58|14757|5.000000
VT4|58|15109|4.000000
VT5|49|35627|2.000000
VT5|39|13487|2.000000
VT6|61|40227|0.000000
12|BUI HUYNH|TIEN|0|2
HD24|28/07/2021|X|5
VT1|39|40771|5.000000
VT2|44|18116|4.000000
VT3|71|34596|1.000000
VT3|68|38520|4.000000
VT5|40|42525|4.000000
HD25|28/07/2021|N|5
VT2|42|23829|1.000000
VT3|54|31520|2.000000
VT7|84|11200|1.000000
VT8|79|27578|5.000000
VT8|86|31763|1.000000
13|LENH HUYNH|HONG|1|2
HD26|28/07/2021|X|5
VT1|61|38704|4.000000
VT1|36|32850|0.000000
VT3|31|37384|0.000000
VT3|49|22760|2.000000
VT7|89|15108|1.000000
HD27|28/07/2021|N|5
VT2|43|39350|1.000000
VT6|63|23357|3.000000
VT6|72|33216|3.000000
VT7|75|20112|0.000000
VT9|56|39361|2.000000
14|MAI MINH|LONG|0|2
HD28|28/07/2021|X|5
VT4|84|39734|4.000000
VT5|33|34041|3.000000
VT6|71|39855|0.000000
VT7|56|24369|5.000000
VT9|55|14565|4.000000
HD29|28/07/2021|N|5
VT1|72|27870|2.000000
VT1|39|30175|5.000000
VT3|90|32142|1.000000
VT7|85|32848|2.000000
VT7|83|12483|1.000000
15|MAI MINH|LE|1|2
HD30|28/07/2021|X|5
VT1|55|10300|3.000000
VT5|54|41783|4.000000
VT6|62|35705|0.000000
VT7|42|36534|1.000000
VT9|79|32701|2.000000
HD31|28/07/2021|N|5
VT0|47|19313|2.000000
VT1|60|40877|2.000000
VT2|78|28443|1.000000
VT5|38|34855|2.000000
VT8|57|10610|4.000000
16|HOANG DINH|LONG|0|2
HD32|28/07/2021|X|5
VT0|71|36488|4.000000
VT2|65|40695|5.000000
VT3|69|29314|4.000000
VT4|35|21258|5.000000
VT7|82|12589|1.000000
HD33|28/07/2021|N|5
VT1|95|41627|3.000000
VT2|89|15997|0.000000
VT2|82|17605|1.000000
VT3|45|13829|4.000000
VT9|57|41240|2.000000
17|VO HUYNH|DAO|1|2
HD34|28/07/2021|X|5
VT1|49|16077|1.000000
VT2|60|25759|4.000000
VT3|48|33992|3.000000
VT7|73|14084|0.000000
VT8|47|34970|3.000000
HD35|28/07/2021|N|5
VT4|65|10503|1.000000
VT6|64|12363|1.000000
VT8|54|19232|5.000000
VT9|31|30913|2.000000
VT9|50|28240|0.000000
18|VO HUYNH|DAO|0|2
HD36|28/07/2021|X|5
VT1|41|27864|5.000000
VT5|86|38712|0.000000
VT5|69|11539|4.000000
VT8|84|21247|4.000000
VT9|35|25262|5.000000
HD37|28/07/2021|N|5
VT1|65|27103|5.000000
VT1|42|38323|4.000000
VT2|88|35087|3.000000
VT5|34|35508|0.000000
VT9|57|25944|0.000000
19|PHAM TIEN|BUOI|1|2
HD38|28/07/2021|X|5
VT0|53|36969|3.000000
VT3|65|22637|3.000000
VT8|65|42060|0.000000
VT8|33|31543|0.000000
VT9|34|14681|2.000000
HD39|28/07/2021|N|5
VT3|34|35629|4.000000
VT4|52|30888|0.000000
VT5|35|42226|0.000000
VT8|78|37067|5.000000
VT9|76|22843|0.000000
20|HUYNH TIEN|TIEN|0|2
HD40|28/07/2021|X|5
VT1|57|31025|5.000000
VT3|79|13359|4.000000
VT4|53|33342|3.000000
VT4|50|24955|2.000000
VT9|68|19496|5.000000
HD41|28/07/2021|N|5
